KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Raków Częstochowa,34,75,23,6,5,63,24,39,"2,21","1,85","0,71"
Legia Warszawa,34,66,19,9,6,57,37,20,"1,94","1,68","1,09"
Lech Poznań,34,61,17,10,7,51,29,22,"1,79","1,50","0,85"
Pogoń Szczecin,34,60,17,9,8,57,46,11,"1,76","1,68","1,35"
Piast Gliwice,34,53,15,8,11,40,31,9,"1,56","1,18","0,91"
Górnik Zabrze,34,48,13,9,12,45,43,2,"1,41","1,32","1,26"
Cracovia,34,46,12,10,12,41,35,6,"1,35","1,21","1,03"
Warta Poznań,34,45,12,9,13,37,35,2,"1,32","1,09","1,03"
Zagłębie Lubin,34,45,12,9,13,35,44,-9,"1,32","1,03","1,29"
Radomiak Radom,34,44,12,8,14,34,41,-7,"1,29","1,00","1,21"
Stal Mielec,34,43,11,10,13,36,40,-4,"1,26","1,06","1,18"
Widzew Łódź,34,41,11,8,15,38,47,-9,"1,21","1,12","1,38"
Korona Kielce,34,41,11,8,15,39,48,-9,"1,21","1,15","1,41"
Jagiellonia,34,41,9,14,11,48,49,-1,"1,21","1,41","1,44"
Śląsk Wrocław,34,38,9,11,14,35,48,-13,"1,12","1,03","1,41"
Wisła Płock,34,37,10,7,17,41,50,-9,"1,09","1,21","1,47"
Lechia Gdańsk,34,30,8,6,20,28,56,-28,"0,88","0,82","1,65"
Miedź Legnica,34,23,4,11,19,33,55,-22,"0,68","0,97","1,62"
