KLUB,DLA,PRZECIW,% WYK.,% WYK.przeciw
Arka,52,72,"42,31%","33,33%"
Bruk-Bet,71,99,"28,17%","30,30%"
Cracovia,69,74,"33,33%","33,78%"
Górnik,87,73,"41,38%","35,62%"
Jagiellonia,83,73,"31,33%","32,88%"
Korona,83,85,"36,14%","38,82%"
Lech,86,46,"30,23%","30,43%"
Lechia,87,99,"33,33%","42,42%"
Legia,97,78,"28,87%","21,79%"
Piast,65,76,"24,62%","26,32%"
Pogoń,80,76,"21,25%","36,84%"
Sandecja,52,90,"38,46%","28,89%"
Śląsk,74,98,"41,89%","31,63%"
Wisła K,83,69,"36,14%","31,88%"
Wisła P,97,77,"31,96%","32,47%"
Zagłębie,87,68,"29,89%","35,29%"
